DetId/i, BinaryDetId/B, Section/C, Layer/I, Ring/I, sensorCenterRho_mm/D, sensorCenterZ_mm/D, phi_deg/D
441203754,00011010010011000011110000101010,TB2S, 1, 3, 699.150000, -242.522989, 105.000000
441203753,00011010010011000011110000101001,TB2S, 1, 3, 700.950000, -242.522989, 105.000000
441203749,00011010010011000011110000100101,TB2S, 1, 4, 704.650000, -343.774399, 105.000000
441203750,00011010010011000011110000100110,TB2S, 1, 4, 706.450000, -343.774399, 105.000000
441203746,00011010010011000011110000100010,TB2S, 1, 5, 699.150000, -439.254946, 105.000000
441203745,00011010010011000011110000100001,TB2S, 1, 5, 700.950000, -439.254946, 105.000000
441203741,00011010010011000011110000011101,TB2S, 1, 6, 704.650000, -541.169931, 105.000000
441203742,00011010010011000011110000011110,TB2S, 1, 6, 706.450000, -541.169931, 105.000000
441203738,00011010010011000011110000011010,TB2S, 1, 7, 699.150000, -634.169931, 105.000000
441203737,00011010010011000011110000011001,TB2S, 1, 7, 700.950000, -634.169931, 105.000000
441203733,00011010010011000011110000010101,TB2S, 1, 8, 704.650000, -736.742363, 105.000000
441203734,00011010010011000011110000010110,TB2S, 1, 8, 706.450000, -736.742363, 105.000000
441203730,00011010010011000011110000010010,TB2S, 1, 9, 699.150000, -827.742363, 105.000000
441203729,00011010010011000011110000010001,TB2S, 1, 9, 700.950000, -827.742363, 105.000000
441203725,00011010010011000011110000001101,TB2S, 1, 10, 704.650000, -930.967712, 105.000000
441203726,00011010010011000011110000001110,TB2S, 1, 10, 706.450000, -930.967712, 105.000000
441203722,00011010010011000011110000001010,TB2S, 1, 11, 699.150000, -1020.096460, 105.000000
441203721,00011010010011000011110000001001,TB2S, 1, 11, 700.950000, -1020.096460, 105.000000
441203717,00011010010011000011110000000101,TB2S, 1, 12, 704.650000, -1123.970618, 105.000000
441203718,00011010010011000011110000000110,TB2S, 1, 12, 706.450000, -1123.970618, 105.000000
441204789,00011010010011000100000000110101,TB2S, 1, 1, 673.050000, 55.491247, 112.500000
441204790,00011010010011000100000000110110,TB2S, 1, 1, 674.850000, 55.491247, 112.500000
441204794,00011010010011000100000000111010,TB2S, 1, 2, 667.550000, 154.090216, 112.500000
441204793,00011010010011000100000000111001,TB2S, 1, 2, 669.350000, 154.090216, 112.500000
441204797,00011010010011000100000000111101,TB2S, 1, 3, 673.050000, 255.043344, 112.500000
441204798,00011010010011000100000000111110,TB2S, 1, 3, 674.850000, 255.043344, 112.500000
441204802,00011010010011000100000001000010,TB2S, 1, 4, 667.550000, 351.483714, 112.500000
441204801,00011010010011000100000001000001,TB2S, 1, 4, 669.350000, 351.483714, 112.500000
441204805,00011010010011000100000001000101,TB2S, 1, 5, 673.050000, 453.102648, 112.500000
441204806,00011010010011000100000001000110,TB2S, 1, 5, 674.850000, 453.102648, 112.500000
441204810,00011010010011000100000001001010,TB2S, 1, 6, 667.550000, 546.102648, 112.500000
441204809,00011010010011000100000001001001,TB2S, 1, 6, 669.350000, 546.102648, 112.500000
441204813,00011010010011000100000001001101,TB2S, 1, 7, 673.050000, 648.378030, 112.500000
441204814,00011010010011000100000001001110,TB2S, 1, 7, 674.850000, 648.378030, 112.500000
441204818,00011010010011000100000001010010,TB2S, 1, 8, 667.550000, 739.378030, 112.500000
441204817,00011010010011000100000001010001,TB2S, 1, 8, 669.350000, 739.378030, 112.500000
441204821,00011010010011000100000001010101,TB2S, 1, 9, 673.050000, 842.305327, 112.500000
441204822,00011010010011000100000001010110,TB2S, 1, 9, 674.850000, 842.305327, 112.500000
441204826,00011010010011000100000001011010,TB2S, 1, 10, 667.550000, 932.393155, 112.500000
441204825,00011010010011000100000001011001,TB2S, 1, 10, 669.350000, 932.393155, 112.500000
441204829,00011010010011000100000001011101,TB2S, 1, 11, 673.050000, 1035.971490, 112.500000
441204830,00011010010011000100000001011110,TB2S, 1, 11, 674.850000, 1035.971490, 112.500000
441204834,00011010010011000100000001100010,TB2S, 1, 12, 667.550000, 1123.964390, 112.500000
441204833,00011010010011000100000001100001,TB2S, 1, 12, 669.350000, 1123.964390, 112.500000
441204786,00011010010011000100000000110010,TB2S, 1, 1, 667.550000, -44.308243, 112.500000
441204785,00011010010011000100000000110001,TB2S, 1, 1, 669.350000, -44.308243, 112.500000
441204781,00011010010011000100000000101101,TB2S, 1, 2, 673.050000, -144.891078, 112.500000
441204782,00011010010011000100000000101110,TB2S, 1, 2, 674.850000, -144.891078, 112.500000
441204778,00011010010011000100000000101010,TB2S, 1, 3, 667.550000, -242.522989, 112.500000
441204777,00011010010011000100000000101001,TB2S, 1, 3, 669.350000, -242.522989, 112.500000
441204773,00011010010011000100000000100101,TB2S, 1, 4, 673.050000, -343.774399, 112.500000
441204774,00011010010011000100000000100110,TB2S, 1, 4, 674.850000, -343.774399, 112.500000
441204770,00011010010011000100000000100010,TB2S, 1, 5, 667.550000, -439.254946, 112.500000
441204769,00011010010011000100000000100001,TB2S, 1, 5, 669.350000, -439.254946, 112.500000
441204765,00011010010011000100000000011101,TB2S, 1, 6, 673.050000, -541.169931, 112.500000
441204766,00011010010011000100000000011110,TB2S, 1, 6, 674.850000, -541.169931, 112.500000
441204762,00011010010011000100000000011010,TB2S, 1, 7, 667.550000, -634.169931, 112.500000
441204761,00011010010011000100000000011001,TB2S, 1, 7, 669.350000, -634.169931, 112.500000
441204757,00011010010011000100000000010101,TB2S, 1, 8, 673.050000, -736.742363, 112.500000
441204758,00011010010011000100000000010110,TB2S, 1, 8, 674.850000, -736.742363, 112.500000
441204754,00011010010011000100000000010010,TB2S, 1, 9, 667.550000, -827.742363, 112.500000
441204753,00011010010011000100000000010001,TB2S, 1, 9, 669.350000, -827.742363, 112.500000
441204749,00011010010011000100000000001101,TB2S, 1, 10, 673.050000, -930.967712, 112.500000
441204750,00011010010011000100000000001110,TB2S, 1, 10, 674.850000, -930.967712, 112.500000
441204746,00011010010011000100000000001010,TB2S, 1, 11, 667.550000, -1020.096460, 112.500000
441204745,00011010010011000100000000001001,TB2S, 1, 11, 669.350000, -1020.096460, 112.500000
441204741,00011010010011000100000000000101,TB2S, 1, 12, 673.050000, -1123.970618, 112.500000
441204742,00011010010011000100000000000110,TB2S, 1, 12, 674.850000, -1123.970618, 112.500000
441205813,00011010010011000100010000110101,TB2S, 1, 1, 704.650000, 55.491247, 120.000000
441205814,00011010010011000100010000110110,TB2S, 1, 1, 706.450000, 55.491247, 120.000000
441205818,00011010010011000100010000111010,TB2S, 1, 2, 699.150000, 154.090216, 120.000000
441205817,00011010010011000100010000111001,TB2S, 1, 2, 700.950000, 154.090216, 120.000000
441205821,00011010010011000100010000111101,TB2S, 1, 3, 704.650000, 255.043344, 120.000000
441205822,00011010010011000100010000111110,TB2S, 1, 3, 706.450000, 255.043344, 120.000000
441205826,00011010010011000100010001000010,TB2S, 1, 4, 699.150000, 351.483714, 120.000000
441205825,00011010010011000100010001000001,TB2S, 1, 4, 700.950000, 351.483714, 120.000000
441205829,00011010010011000100010001000101,TB2S, 1, 5, 704.650000, 453.102648, 120.000000
441205830,00011010010011000100010001000110,TB2S, 1, 5, 706.450000, 453.102648, 120.000000
441205834,00011010010011000100010001001010,TB2S, 1, 6, 699.150000, 546.102648, 120.000000
441205833,00011010010011000100010001001001,TB2S, 1, 6, 700.950000, 546.102648, 120.000000
441205837,00011010010011000100010001001101,TB2S, 1, 7, 704.650000, 648.378030, 120.000000
441205838,00011010010011000100010001001110,TB2S, 1, 7, 706.450000, 648.378030, 120.000000
441205842,00011010010011000100010001010010,TB2S, 1, 8, 699.150000, 739.378030, 120.000000
