DetId/U, BinaryDetId/B, Section/C, Layer/I, Ring/I, SensorCenter rho(mm), SensorCenter z(mm), tiltAngle_deg/D, skewAngle_deg/D, yawAngle_deg/D, phi_deg/D, vtxOneX_mm/D, vtxOneY_mm/D,vtxTwoX_mm/D,vtxTwoY_mm/D,vtxThreeX_mm/D,vtxThreeY_mm/D,vtxFourX_mm/D,vtxFourY_mm/D, meanWidth_mm/D, length_mm/D, sensorSpacing_mm/D, sensorThickness_mm/D
441202724,00011010010011000011100000100100,TB2S, 1, 4, 673.450000, -346.689761, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202720,00011010010011000011100000100000,TB2S, 1, 5, 668.950000, -442.827456, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202716,00011010010011000011100000011100,TB2S, 1, 6, 673.450000, -544.368332, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202712,00011010010011000011100000011000,TB2S, 1, 7, 668.950000, -637.368332, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202708,00011010010011000011100000010100,TB2S, 1, 8, 673.450000, -739.387827, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202704,00011010010011000011100000010000,TB2S, 1, 9, 668.950000, -830.387827, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202700,00011010010011000011100000001100,TB2S, 1, 10, 673.450000, -932.882198, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441202696,00011010010011000011100000001000,TB2S, 1, 11, 668.950000, -1023.543489, 0.000000, 0.000000, 0.000000, 97.500000, -132.644357, 657.259382, -132.644357, 657.259382, -41.986636, 669.194698, -41.986636, 669.194698, 91.440000, 100.500000, 1.800000, 0.290000
441202692,00011010010011000011100000000100,TB2S, 1, 12, 673.450000, -1126.513071, 0.000000, 0.000000, 0.000000, 97.500000, -133.231724, 661.720884, -133.231724, 661.720884, -42.574004, 673.656200, -42.574004, 673.656200, 91.440000, 100.500000, 1.800000, 0.290000
441203764,00011010010011000011110000110100,TB2S, 1, 1, 705.050000, 52.800359, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203768,00011010010011000011110000111000,TB2S, 1, 2, 700.550000, 151.683666, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203772,00011010010011000011110000111100,TB2S, 1, 3, 705.050000, 252.508256, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203776,00011010010011000011110001000000,TB2S, 1, 4, 700.550000, 349.525825, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203780,00011010010011000011110001000100,TB2S, 1, 5, 705.050000, 450.837156, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203784,00011010010011000011110001001000,TB2S, 1, 6, 700.550000, 546.001871, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203788,00011010010011000011110001001100,TB2S, 1, 7, 705.050000, 647.796582, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203792,00011010010011000011110001010000,TB2S, 1, 8, 700.550000, 740.796582, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203796,00011010010011000011110001010100,TB2S, 1, 9, 705.050000, 843.070536, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203800,00011010010011000011110001011000,TB2S, 1, 10, 700.550000, 934.070536, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203804,00011010010011000011110001011100,TB2S, 1, 11, 705.050000, 1036.819992, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203808,00011010010011000011110001100000,TB2S, 1, 12, 700.550000, 1126.510262, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203760,00011010010011000011110000110000,TB2S, 1, 1, 700.550000, -47.069504, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203756,00011010010011000011110000101100,TB2S, 1, 2, 705.050000, -147.636717, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203752,00011010010011000011110000101000,TB2S, 1, 3, 700.550000, -245.634031, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203748,00011010010011000011110000100100,TB2S, 1, 4, 705.050000, -346.689761, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203744,00011010010011000011110000100000,TB2S, 1, 5, 700.550000, -442.827456, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203740,00011010010011000011110000011100,TB2S, 1, 6, 705.050000, -544.368332, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203736,00011010010011000011110000011000,TB2S, 1, 7, 700.550000, -637.368332, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203732,00011010010011000011110000010100,TB2S, 1, 8, 705.050000, -739.387827, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203728,00011010010011000011110000010000,TB2S, 1, 9, 700.550000, -830.387827, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203724,00011010010011000011110000001100,TB2S, 1, 10, 705.050000, -932.882198, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441203720,00011010010011000011110000001000,TB2S, 1, 11, 700.550000, -1023.543489, 0.000000, 0.000000, 0.000000, 105.000000, -225.477812, 664.846131, -225.477812, 664.846131, -137.153552, 688.512545, -137.153552, 688.512545, 91.440000, 100.500000, 1.800000, 0.290000
441203716,00011010010011000011110000000100,TB2S, 1, 12, 705.050000, -1126.513071, 0.000000, 0.000000, 0.000000, 105.000000, -226.642498, 669.192797, -226.642498, 669.192797, -138.318238, 692.859211, -138.318238, 692.859211, 91.440000, 100.500000, 1.800000, 0.290000
441204788,00011010010011000100000000110100,TB2S, 1, 1, 673.450000, 52.800359, 0.000000, 0.000000, 0.000000, 112.500000, -299.957931, 604.690384, -299.957931, 604.690384, -215.478384, 639.682958, -215.478384, 639.682958, 91.440000, 100.500000, 1.800000, 0.290000
441204792,00011010010011000100000000111000,TB2S, 1, 2, 668.950000, 151.683666, 0.000000, 0.000000, 0.000000, 112.500000, -298.235855, 600.532926, -298.235855, 600.532926, -213.756309, 635.525500, -213.756309, 635.525500, 91.440000, 100.500000, 1.800000, 0.290000
441204796,00011010010011000100000000111100,TB2S, 1, 3, 673.450000, 252.508256, 0.000000, 0.000000, 0.000000, 112.500000, -299.957931, 604.690384, -299.957931, 604.690384, -215.478384, 639.682958, -215.478384, 639.682958, 91.440000, 100.500000, 1.800000, 0.290000
441204800,00011010010011000100000001000000,TB2S, 1, 4, 668.950000, 349.525825, 0.000000, 0.000000, 0.000000, 112.500000, -298.235855, 600.532926, -298.235855, 600.532926, -213.756309, 635.525500, -213.756309, 635.525500, 91.440000, 100.500000, 1.800000, 0.290000
441204804,00011010010011000100000001000100,TB2S, 1, 5, 673.450000, 450.837156, 0.000000, 0.000000, 0.000000, 112.500000, -299.957931, 604.690384, -299.957931, 604.690384, -215.478384, 639.682958, -215.478384, 639.682958, 91.440000, 100.500000, 1.800000, 0.290000
441204808,00011010010011000100000001001000,TB2S, 1, 6, 668.950000, 546.001871, 0.000000, 0.000000, 0.000000, 112.500000, -298.235855, 600.532926, -298.235855, 600.532926, -213.756309, 635.525500, -213.756309, 635.525500, 91.440000, 100.500000, 1.800000, 0.290000
441204812,00011010010011000100000001001100,TB2S, 1, 7, 673.450000, 647.796582, 0.000000, 0.000000, 0.000000, 112.500000, -299.957931, 604.690384, -299.957931, 604.690384, -215.478384, 639.682958, -215.478384, 639.682958, 91.440000, 100.500000, 1.800000, 0.290000
441204816,00011010010011000100000001010000,TB2S, 1, 8, 668.950000, 740.796582, 0.000000, 0.000000, 0.000000, 112.500000, -298.235855, 600.532926, -298.235855, 600.532926, -213.756309, 635.525500, -213.756309, 635.525500, 91.440000, 100.500000, 1.800000, 0.290000
441204820,00011010010011000100000001010100,TB2S, 1, 9, 673.450000, 843.070536, 0.000000, 0.000000, 0.000000, 112.500000, -299.957931, 604.690384, -299.957931, 604.690384, -215.478384, 639.682958, -215.478384, 639.682958, 91.440000, 100.500000, 1.800000, 0.290000
441204824,00011010010011000100000001011000,TB2S, 1, 10, 668.950000, 934.070536, 0.000000, 0.000000, 0.000000, 112.500000, -298.235855, 600.532926, -298.235855, 600.532926, -213.756309, 635.525500, -213.756309, 635.525500, 91.440000, 100.500000, 1.800000, 0.290000
441204828,00011010010011000100000001011100,TB2S, 1, 11, 673.450000, 1036.819992, 0.000000, 0.000000, 0.000000, 112.500000, -299.957931, 604.690384, -299.957931, 604.690384, -215.478384, 639.682958, -215.478384, 639.682958, 91.440000, 100.500000, 1.800000, 0.290000
441204832,00011010010011000100000001100000,TB2S, 1, 12, 668.950000, 1126.510262, 0.000000, 0.000000, 0.000000, 112.500000, -298.235855, 600.532926, -298.235855, 600.532926, -213.756309, 635.525500, -213.756309, 635.525500, 91.440000, 100.500000, 1.800000, 0.290000
441204784,00011010010011000100000000110000,TB2S, 1, 1, 668.950000, -47.069504, 0.000000, 0.000000, 0.000000, 112.500000, -298.235855, 600.532926, -298.235855, 600.532926, -213.756309, 635.525500, -213.756309, 635.525500, 91.440000, 100.500000, 1.800000, 0.290000
441204780,00011010010011000100000000101100,TB2S, 1, 2, 673.450000, -147.636717, 0.000000, 0.000000, 0.000000, 112.500000, -299.957931, 604.690384, -299.957931, 604.690384, -215.478384, 639.682958, -215.478384, 639.682958, 91.440000, 100.500000, 1.800000, 0.290000
441204776,00011010010011000100000000101000,TB2S, 1, 3, 668.950000, -245.634031, 0.000000, 0.000000, 0.000000, 112.500000, -298.235855, 600.532926, -298.235855, 600.532926, -213.756309, 635.525500, -213.756309, 635.525500, 91.440000, 100.500000, 1.800000, 0.290000
441204772,00011010010011000100000000100100,TB2S, 1, 4, 673.450000, -346.689761, 0.000000, 0.000000, 0.000000, 112.500000, -299.957931, 604.690384, -299.957931, 604.690384, -215.478384, 639.682958, -215.478384, 639.682958, 91.440000, 100.500000, 1.800000, 0.290000
